2026-03-22 11:11:49,570 - grpo_trainer - INFO - Step 93/200 | reward=3.117 | correct=0.000 | hack_strict=0.875 | hack_loose=0.984 | compile=0.984 | loss=-4.5987 | lr=3.88e-05 | kl=0.0000 | time=31.6s (gen=11.8s, reward=8.9s)
2026-03-22 11:12:19,658 - grpo_trainer - INFO - Step 94/200 | reward=3.500 | correct=0.000 | hack_strict=1.000 | hack_loose=1.000 | compile=1.000 | loss=0.0000 | lr=3.83e-05 | kl=0.0000 | time=30.1s (gen=8.5s, reward=10.4s)
2026-03-22 11:12:53,250 - grpo_trainer - INFO - Step 95/200 | reward=3.500 | correct=0.000 | hack_strict=1.000 | hack_loose=1.000 | compile=1.000 | loss=0.0000 | lr=3.77e-05 | kl=0.0000 | time=33.6s (gen=12.9s, reward=10.4s)
2026-03-22 11:13:23,368 - grpo_trainer - INFO - Step 96/200 | reward=3.500 | correct=0.000 | hack_strict=1.000 | hack_loose=1.000 | compile=1.000 | loss=0.0000 | lr=3.72e-05 | kl=0.0000 | time=30.1s (gen=10.7s, reward=9.8s)
2026-03-22 11:13:54,020 - grpo_trainer - INFO - Step 97/200 | reward=3.404 | correct=0.000 | hack_strict=0.973 | hack_loose=0.973 | compile=0.973 | loss=0.2311 | lr=3.66e-05 | kl=0.0000 | time=30.7s (gen=11.9s, reward=8.3s)
2026-03-22 11:14:29,367 - grpo_trainer - INFO - Step 98/200 | reward=3.404 | correct=0.000 | hack_strict=0.973 | hack_loose=0.973 | compile=0.973 | loss=0.0756 | lr=3.61e-05 | kl=0.0000 | time=35.3s (gen=14.0s, reward=8.9s)
2026-03-22 11:15:00,165 - grpo_trainer - INFO - Step 99/200 | reward=3.461 | correct=0.000 | hack_strict=0.988 | hack_loose=0.992 | compile=0.992 | loss=0.3837 | lr=3.55e-05 | kl=0.0000 | time=30.8s (gen=12.8s, reward=8.9s)
2026-03-22 11:15:43,526 - grpo_trainer - INFO - Step 100/200 | reward=3.500 | correct=0.000 | hack_strict=1.000 | hack_loose=1.000 | compile=1.000 | loss=0.0000 | lr=3.50e-05 | kl=0.0000 | time=28.9s (gen=9.7s, reward=9.7s)
2026-03-22 11:16:11,508 - grpo_trainer - INFO - Step 101/200 | reward=3.432 | correct=0.000 | hack_strict=0.980 | hack_loose=0.980 | compile=0.980 | loss=0.5328 | lr=3.45e-05 | kl=0.0000 | time=28.0s (gen=9.5s, reward=8.6s)
2026-03-22 11:16:46,335 - grpo_trainer - INFO - Step 102/200 | reward=3.477 | correct=0.000 | hack_strict=0.992 | hack_loose=1.000 | compile=1.000 | loss=-0.0331 | lr=3.39e-05 | kl=0.0000 | time=34.8s (gen=12.9s, reward=9.5s)
